stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code
1000,1000,Frederick Station (Frederick / King),,  43.449665, -80.487205,,https://www.grt.ca/en/schedules-maps/platform-layouts-ION-connections.aspx,0,,1,
1001,1001,Frederick / Region Of Waterloo Headquarters,,  43.452326, -80.484192,,,0,,1,
1002,1002,Frederick / Otto,,  43.452995, -80.482913,,,0,,1,
1003,1003,Frederick / Samuel,,  43.454826, -80.479511,,,0,,1,
1004,1004,Frederick / Merner,,  43.456210, -80.476903,,,0,,1,
1005,1005,Union / Dover,,  43.463995, -80.509249,,,0,,2,
1006,1006,Frederick / Frederick Mall,,  43.457923, -80.473576,,,0,,1,
1007,1007,Frederick / Ann,,  43.459283, -80.469794,,,0,,1,
1008,1008,Frederick / Bruce,,  43.459993, -80.467513,,,0,,1,
1009,1009,Frederick / Lois,,  43.460916, -80.464637,,,0,,1,
1010,1010,Frederick / River,,  43.461830, -80.461662,,,0,,1,
1011,1011,Franklin / Lindsay,,  43.396304, -80.303910,,,0,,1,
1012,1012,River / Manchester,,  43.458463, -80.454177,,,0,,1,
1013,1013,River / Lorraine,,  43.457257, -80.449481,,,0,,1,
1014,1014,River / Hickson,,  43.454284, -80.446675,,,0,,1,
1015,1015,River / Path To Secord,,  43.452839, -80.445724,,,0,,1,
1016,1016,River / Ottawa,,  43.451231, -80.444688,,,0,,1,
1017,1017,River / Stanley Park Mall,,  43.448703, -80.443141,,,0,,1,
1018,1018,River / Conway,,  43.447276, -80.442388,,,0,,1,
1019,1019,River / Bradley,,  43.445723, -80.441426,,,0,,2,
1020,1020,Maple Grove / Boxwood,,  43.427063, -80.364376,,,0,,1,
1021,1021,Maple Grove / Boxwood,,  43.426855, -80.363843,,,0,,1,
1022,1022,Huron / Strasburg,,  43.392897, -80.465131,,,0,,1,
1023,1023,Victoria / Margaret,,  43.456329, -80.489504,,,0,,1,
1025,1025,Block Line / Country Hill,,  43.417036, -80.476022,,,0,,1,
1026,1026,Oldfield / Batterswood,,  43.450825, -80.429724,,,0,,2,
1027,1027,Oldfield / Casey,,  43.453000, -80.430717,,,0,,2,
1028,1028,Block Line / Kingswood,,  43.417682, -80.473346,,,0,,1,
1029,1029,Cooper / Queen,,  43.432338, -80.308223,,,0,,1,
1030,1030,Ottawa / Heritage,,  43.454922, -80.433087,,,0,,1,
1031,1031,Franklin / Green Gate,,  43.356365, -80.285888,,,0,,1,
1032,1032,Lennox Lewis / Activa Sportsplex,,  43.422910, -80.468877,,,0,,1,
1033,1033,Block Line / Hanover,,  43.419023, -80.466600,,,0,,1,
1034,1034,The Boardwalk / Medical Centre,,  43.440144, -80.565631,,,0,,1,
1035,1035,Maple Grove / Fountain (East Side),,  43.424587, -80.378274,,,0,,2,
1036,1036,Maple Grove / Fountain (East Side),,  43.424389, -80.378124,,,0,,1,
1037,1037,The Boardwalk / Medical Centre,,  43.440242, -80.565480,,,0,,1,
1038,1038,Fairway / Idle Creek,,  43.441428, -80.418085,,,0,,1,
1039,1039,Fairway / Old Chicopee,,  43.436770, -80.426298,,,0,,1,
1040,1040,330 The Boardwalk,,  43.437843, -80.562983,,,0,,1,
1041,1041,Fairway / Morgan,,  43.430207, -80.431957,,,0,,1,
1042,1042,Fairway / King (East Side),,  43.428821, -80.432155,,,0,,1,
