service_id,date,exception_type
13-Saturday-1-23WINT-0000010,20230225,1
13-Saturday-1-23WINT-0000010,20230304,1
13-Saturday-1-23WINT-0000010,20230311,1
13-Saturday-1-23WINT-0000010,20230318,1
13-Saturday-1-23WINT-0000010,20230325,1
13-Saturday-1-23WINT-0000010,20230401,1
13-Saturday-1-23WINT-0000010,20230408,1
13-Saturday-1-23WINT-0000010,20230415,1
13-Saturday-1-23WINT-0000010,20230422,1
13-Sunday-1-23WINT-0000001,20230122,1
13-Sunday-1-23WINT-0000001,20230129,1
13-Sunday-1-23WINT-0000001,20230205,1
13-Sunday-1-23WINT-0000001,20230212,1
13-Sunday-1-23WINT-0000001,20230219,1
13-Sunday-1-23WINT-0000001,20230226,1
13-Sunday-1-23WINT-0000001,20230305,1
13-Sunday-1-23WINT-0000001,20230312,1
13-Sunday-1-23WINT-0000001,20230319,1
13-Sunday-1-23WINT-0000001,20230326,1
13-Sunday-1-23WINT-0000001,20230402,1
13-Sunday-1-23WINT-0000001,20230409,1
13-Sunday-1-23WINT-0000001,20230416,1
13-Sunday-1-23WINT-0000001,20230423,1
13-Weekday-1-23WINT-1111100,20230116,1
13-Weekday-1-23WINT-1111100,20230117,1
13-Weekday-1-23WINT-1111100,20230118,1
13-Weekday-1-23WINT-1111100,20230119,1
13-Weekday-1-23WINT-1111100,20230120,1
13-Weekday-1-23WINT-1111100,20230123,1
13-Weekday-1-23WINT-1111100,20230124,1
13-Weekday-1-23WINT-1111100,20230125,1
13-Weekday-1-23WINT-1111100,20230126,1
13-Weekday-1-23WINT-1111100,20230127,1
13-Weekday-1-23WINT-1111100,20230130,1
13-Weekday-1-23WINT-1111100,20230131,1
13-Weekday-1-23WINT-1111100,20230201,1
13-Weekday-1-23WINT-1111100,20230202,1
13-Weekday-1-23WINT-1111100,20230203,1
13-Weekday-1-23WINT-1111100,20230206,1
13-Weekday-1-23WINT-1111100,20230207,1
13-Weekday-1-23WINT-1111100,20230208,1
13-Weekday-1-23WINT-1111100,20230209,1
13-Weekday-1-23WINT-1111100,20230210,1
13-Weekday-1-23WINT-1111100,20230213,1
13-Weekday-1-23WINT-1111100,20230214,1
13-Weekday-1-23WINT-1111100,20230215,1
13-Weekday-1-23WINT-1111100,20230216,1
13-Weekday-1-23WINT-1111100,20230217,1
13-Weekday-1-23WINT-1111100,20230221,1
13-Weekday-1-23WINT-1111100,20230222,1
13-Weekday-1-23WINT-1111100,20230223,1
13-Weekday-1-23WINT-1111100,20230224,1
13-Weekday-1-23WINT-1111100,20230227,1
13-Weekday-1-23WINT-1111100,20230228,1
13-Weekday-1-23WINT-1111100,20230301,1
13-Weekday-1-23WINT-1111100,20230302,1
13-Weekday-1-23WINT-1111100,20230303,1
13-Weekday-1-23WINT-1111100,20230306,1
13-Weekday-1-23WINT-1111100,20230307,1
13-Weekday-1-23WINT-1111100,20230308,1
13-Weekday-1-23WINT-1111100,20230309,1
13-Weekday-1-23WINT-1111100,20230310,1
13-Weekday-1-23WINT-1111100,20230313,1
13-Weekday-1-23WINT-1111100,20230314,1
13-Weekday-1-23WINT-1111100,20230315,1
13-Weekday-1-23WINT-1111100,20230316,1
13-Weekday-1-23WINT-1111100,20230317,1
13-Weekday-1-23WINT-1111100,20230320,1
13-Weekday-1-23WINT-1111100,20230321,1
13-Weekday-1-23WINT-1111100,20230322,1
13-Weekday-1-23WINT-1111100,20230323,1
13-Weekday-1-23WINT-1111100,20230324,1
13-Weekday-1-23WINT-1111100,20230327,1
13-Weekday-1-23WINT-1111100,20230328,1
13-Weekday-1-23WINT-1111100,20230329,1
13-Weekday-1-23WINT-1111100,20230330,1
13-Weekday-1-23WINT-1111100,20230331,1
13-Weekday-1-23WINT-1111100,20230403,1
13-Weekday-1-23WINT-1111100,20230404,1
13-Weekday-1-23WINT-1111100,20230405,1
13-Weekday-1-23WINT-1111100,20230406,1
13-Weekday-1-23WINT-1111100,20230410,1
13-Weekday-1-23WINT-1111100,20230411,1
13-Weekday-1-23WINT-1111100,20230412,1
13-Weekday-1-23WINT-1111100,20230413,1
13-Weekday-1-23WINT-1111100,20230414,1
13-Weekday-1-23WINT-1111100,20230417,1
13-Weekday-1-23WINT-1111100,20230418,1
13-Weekday-1-23WINT-1111100,20230419,1
13-Weekday-1-23WINT-1111100,20230420,1
13-Weekday-1-23WINT-1111100,20230421,1
14-Weekday-1-23WINT-1111100,20230116,1
14-Weekday-1-23WINT-1111100,20230117,1
14-Weekday-1-23WINT-1111100,20230118,1
14-Weekday-1-23WINT-1111100,20230119,1
14-Weekday-1-23WINT-1111100,20230120,1
14-Weekday-1-23WINT-1111100,20230123,1
14-Weekday-1-23WINT-1111100,20230124,1
14-Weekday-1-23WINT-1111100,20230125,1
14-Weekday-1-23WINT-1111100,20230126,1
14-Weekday-1-23WINT-1111100,20230127,1
14-Weekday-1-23WINT-1111100,20230130,1
14-Weekday-1-23WINT-1111100,20230131,1
14-Weekday-1-23WINT-1111100,20230201,1
